Designator,Mid X,Mid Y,Rotation,Layer
SH1._228_.P4,14.0,-73.0,0.0,top
SH1._229_.N1,8.0,-79.0,180.0,top
SH1._229_.N2,10.0,-79.0,180.0,top
SH1._229_.N3,12.0,-79.0,180.0,top
SH1._229_.N4,14.0,-79.0,180.0,top
SH1._229_.P1,8.0,-81.0,0.0,top
SH1._229_.P2,10.0,-81.0,0.0,top
SH1._229_.P3,12.0,-81.0,0.0,top
SH1._229_.P4,14.0,-81.0,0.0,top
SH1._230_.N1,16.0,-79.0,180.0,top
SH1._230_.N2,18.0,-79.0,180.0,top
SH1._230_.N3,20.0,-79.0,180.0,top
SH1._230_.N4,22.0,-79.0,180.0,top
SH1._230_.P1,16.0,-81.0,0.0,top
SH1._230_.P2,18.0,-81.0,0.0,top
SH1._230_.P3,20.0,-81.0,0.0,top
SH1._230_.P4,22.0,-81.0,0.0,top
SH1._231_.N1,38.0,-21.0,0.0,top
SH1._231_.N2,40.0,-21.0,0.0,top
SH1._231_.N3,42.0,-21.0,0.0,top
SH1._231_.N4,44.0,-21.0,0.0,top
SH1._231_.P1,38.0,-19.0,180.0,top
SH1._231_.P2,40.0,-19.0,180.0,top
SH1._231_.P3,42.0,-19.0,180.0,top
SH1._231_.P4,44.0,-19.0,180.0,top
SH1._232_.N1,24.0,-85.0,0.0,top
SH1._232_.N2,26.0,-85.0,0.0,top
SH1._232_.N3,28.0,-85.0,0.0,top
SH1._232_.N4,30.0,-85.0,0.0,top
SH1._232_.P1,24.0,-83.0,180.0,top
SH1._232_.P2,26.0,-83.0,180.0,top
SH1._232_.P3,28.0,-83.0,180.0,top
SH1._232_.P4,30.0,-83.0,180.0,top
SH1._233_.N1,16.0,-85.0,0.0,top
SH1._233_.N2,18.0,-85.0,0.0,top
SH1._233_.N3,20.0,-85.0,0.0,top
SH1._233_.N4,22.0,-85.0,0.0,top
SH1._233_.P1,16.0,-83.0,180.0,top
SH1._233_.P2,18.0,-83.0,180.0,top
SH1._233_.P3,20.0,-83.0,180.0,top
SH1._233_.P4,22.0,-83.0,180.0,top
SH1._234_.N1,16.0,-87.0,180.0,top
SH1._234_.N2,18.0,-87.0,180.0,top
SH1._234_.N3,20.0,-87.0,180.0,top
SH1._234_.N4,22.0,-87.0,180.0,top
SH1._234_.P1,16.0,-89.0,0.0,top
SH1._234_.P2,18.0,-89.0,0.0,top
SH1._234_.P3,20.0,-89.0,0.0,top
SH1._234_.P4,22.0,-89.0,0.0,top
SH1._235_.N1,25.0,-87.0,180.0,top
SH1._235_.N2,27.0,-87.0,180.0,top
SH1._235_.N3,29.0,-87.0,180.0,top
SH1._235_.N4,31.0,-87.0,180.0,top
SH1._235_.P1,25.0,-89.0,0.0,top
SH1._235_.P2,27.0,-89.0,0.0,top
SH1._235_.P3,29.0,-89.0,0.0,top
SH1._235_.P4,31.0,-89.0,0.0,top
SH1._236_.N1,33.0,-87.0,180.0,top
SH1._236_.N2,35.0,-87.0,180.0,top
SH1._236_.N3,37.0,-87.0,180.0,top
SH1._236_.N4,39.0,-87.0,180.0,top
SH1._236_.P1,33.0,-89.0,0.0,top
SH1._236_.P2,35.0,-89.0,0.0,top
SH1._236_.P3,37.0,-89.0,0.0,top
SH1._236_.P4,39.0,-89.0,0.0,top
SH1._237_.N1,34.0,-77.0,0.0,top
SH1._237_.N2,36.0,-77.0,0.0,top
SH1._237_.N3,38.0,-77.0,0.0,top
SH1._237_.N4,40.0,-77.0,0.0,top
SH1._237_.P1,34.0,-75.0,180.0,top
SH1._237_.P2,36.0,-75.0,180.0,top
SH1._237_.P3,38.0,-75.0,180.0,top
SH1._237_.P4,40.0,-75.0,180.0,top
SH1._238_.N1,34.0,-71.0,180.0,top
SH1._238_.N2,36.0,-71.0,180.0,top
SH1._238_.N3,38.0,-71.0,180.0,top
SH1._238_.N4,40.0,-71.0,180.0,top
SH1._238_.P1,34.0,-73.0,0.0,top
SH1._238_.P2,36.0,-73.0,0.0,top
SH1._238_.P3,38.0,-73.0,0.0,top
SH1._238_.P4,40.0,-73.0,0.0,top
SH1._239_.N1,34.0,-69.0,0.0,top
SH1._239_.N2,36.0,-69.0,0.0,top
SH1._239_.N3,38.0,-69.0,0.0,top
SH1._239_.N4,40.0,-69.0,0.0,top
SH1._239_.P1,34.0,-67.0,180.0,top
SH1._239_.P2,36.0,-67.0,180.0,top
SH1._239_.P3,38.0,-67.0,180.0,top
SH1._239_.P4,40.0,-67.0,180.0,top
SH1._240_.N1,25.0,-69.0,0.0,top
SH1._240_.N2,27.0,-69.0,0.0,top
SH1._240_.N3,29.0,-69.0,0.0,top
SH1._240_.N4,31.0,-69.0,0.0,top
SH1._240_.P1,25.0,-67.0,180.0,top
SH1._240_.P2,27.0,-67.0,180.0,top
SH1._240_.P3,29.0,-67.0,180.0,top
SH1._240_.P4,31.0,-67.0,180.0,top
SH1._241_.N1,33.0,-63.0,180.0,top
SH1._241_.N2,35.0,-63.0,180.0,top
SH1._241_.N3,37.0,-63.0,180.0,top
SH1._241_.N4,39.0,-63.0,180.0,top
SH1._241_.P1,33.0,-65.0,0.0,top
SH1._241_.P2,35.0,-65.0,0.0,top
SH1._241_.P3,37.0,-65.0,0.0,top
SH1._241_.P4,39.0,-65.0,0.0,top
SH1._242_.N1,34.0,-29.0,0.0,top
SH1._242_.N2,36.0,-29.0,0.0,top
SH1._242_.N3,38.0,-29.0,0.0,top
SH1._242_.N4,40.0,-29.0,0.0,top
SH1._242_.P1,34.0,-27.0,180.0,top
SH1._242_.P2,36.0,-27.0,180.0,top
SH1._242_.P3,38.0,-27.0,180.0,top
SH1._242_.P4,40.0,-27.0,180.0,top
SH1._243_.N1,34.0,-61.0,0.0,top
SH1._243_.N2,36.0,-61.0,0.0,top
SH1._243_.N3,38.0,-61.0,0.0,top
SH1._243_.N4,40.0,-61.0,0.0,top
SH1._243_.P1,34.0,-59.0,180.0,top
SH1._243_.P2,36.0,-59.0,180.0,top
SH1._243_.P3,38.0,-59.0,180.0,top
SH1._243_.P4,40.0,-59.0,180.0,top
SH1._244_.N1,42.0,-61.0,0.0,top
SH1._244_.N2,44.0,-61.0,0.0,top
SH1._244_.N3,46.0,-61.0,0.0,top
SH1._244_.N4,48.0,-61.0,0.0,top
SH1._244_.P1,42.0,-59.0,180.0,top
SH1._244_.P2,44.0,-59.0,180.0,top
SH1._244_.P3,46.0,-59.0,180.0,top
SH1._244_.P4,48.0,-59.0,180.0,top
SH1._245_.N1,34.0,-23.0,180.0,top
SH1._245_.N2,36.0,-23.0,180.0,top
SH1._245_.N3,38.0,-23.0,180.0,top
SH1._245_.N4,40.0,-23.0,180.0,top
SH1._245_.P1,34.0,-25.0,0.0,top
SH1._245_.P2,36.0,-25.0,0.0,top
SH1._245_.P3,38.0,-25.0,0.0,top
SH1._245_.P4,40.0,-25.0,0.0,top
SH1._246_.N1,26.0,-23.0,180.0,top
SH1._246_.N2,28.0,-23.0,180.0,top
SH1._246_.N3,30.0,-23.0,180.0,top
SH1._246_.N4,32.0,-23.0,180.0,top
