transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'10,10.0,100.0,20.0,41.882729999999995,2.633339,-7.232666015624995,21.09985351562501
'01,10.0,100.0,40.0,38.253679999999996,2.4736949999999998,6.060791015625008,33.45336914062501
'10,10.0,100.0,40.0,41.882729999999995,2.633339,-3.607177734374994,17.47436523437501
'01,10.0,100.0,100.0,38.2536,2.473668,22.71118164062501,32.647705078125014
'10,10.0,100.0,100.0,41.88265,2.6333379999999997,6.597900390625008,12.908935546875007
'01,10.0,100.0,150.0,38.25293,2.473019,34.796142578125014,38.28735351562501
'10,10.0,100.0,150.0,41.88267,2.6328639999999996,11.968994140625007,16.265869140625007
'01,10.0,150.0,10.0,49.415679999999995,2.4757719999999996,-10.992431640624993,48.492431640625
'10,10.0,150.0,10.0,53.12442,2.633834,-22.003173828125,33.184814453125014
'01,10.0,150.0,20.0,49.415679999999995,2.4757719999999996,-10.186767578124995,47.68676757812501
'10,10.0,150.0,20.0,53.12442,2.633834,-21.063232421874996,32.37915039062501
'01,10.0,150.0,40.0,49.415679999999995,2.4757719999999996,-6.561279296874994,44.732666015625
'10,10.0,150.0,40.0,53.12442,2.633834,-17.572021484374993,28.753662109375007
'01,10.0,150.0,100.0,49.4156,2.475745,9.283447265625009,43.92700195312501
'10,10.0,150.0,100.0,53.12434,2.633834,-9.515380859374995,20.697021484375007
'01,10.0,150.0,150.0,49.414919999999995,2.475507,20.42846679687501,49.43237304687501
'10,10.0,150.0,150.0,53.1243,2.633834,-5.889892578124994,22.17407226562501
'01,20.0,10.0,10.0,15.010029999999999,3.1441149999999998,33.99047851562501,15.59448242187501
'10,20.0,10.0,10.0,18.51345,3.3379549999999996,27.947998046875007,0.28686523437500633
'01,20.0,10.0,20.0,15.010019999999999,3.143998,34.93041992187501,14.654541015625009
'10,20.0,10.0,20.0,18.513469999999998,3.3379119999999998,28.887939453125007,-0.6530761718749937
'01,20.0,10.0,40.0,15.010029999999999,3.1441149999999998,38.555908203125014,11.834716796875007
'10,20.0,10.0,40.0,18.51345,3.3379549999999996,32.513427734375014,-1.727294921874994
'01,20.0,10.0,100.0,15.00994,3.1440859999999997,58.966064453125014,13.446044921875007
'10,20.0,10.0,100.0,18.51335,3.337954,51.177978515625,8.880615234375009
'01,20.0,10.0,150.0,15.00912,3.143706,76.69067382812501,28.485107421875007
'10,20.0,10.0,150.0,18.51335,3.3377399999999997,66.08276367187501,21.234130859375007
'01,20.0,20.0,10.0,18.27141,3.142768,28.753662109375007,16.534423828125007
'10,20.0,20.0,10.0,21.810219999999997,3.33803,21.771240234375007,1.2268066406250067
'01,20.0,20.0,20.0,18.27143,3.14271,29.69360351562501,15.59448242187501
'10,20.0,20.0,20.0,21.810249999999996,3.3377589999999997,22.71118164062501,0.28686523437500633
'01,20.0,20.0,40.0,18.27141,3.142767,33.184814453125014,12.774658203125007
'10,20.0,20.0,40.0,21.810219999999997,3.33803,26.336669921875007,-0.6530761718749937
'01,20.0,20.0,100.0,18.27132,3.142738,52.92358398437501,13.983154296875007
'10,20.0,20.0,100.0,21.810119999999998,3.338028,43.52416992187501,7.537841796875007
'01,20.0,20.0,150.0,18.270609999999998,3.1426439999999998,69.30541992187501,27.81372070312501
'10,20.0,20.0,150.0,21.81009,3.33792,56.28051757812502,18.01147460937501
'01,20.0,40.0,10.0,24.00892,3.1417589999999995,20.56274414062501,20.15991210937501
'10,20.0,40.0,10.0,27.601889999999997,3.337975,12.506103515625007,4.986572265625007
'01,20.0,40.0,20.0,24.00892,3.1417589999999995,21.502685546875007,19.219970703125014
'10,20.0,40.0,20.0,27.601889999999997,3.337975,13.311767578125007,4.046630859375007
'01,20.0,40.0,40.0,24.00892,3.1417589999999995,24.993896484375007,16.40014648437501
'10,20.0,40.0,40.0,27.601889999999997,3.337975,16.93725585937501,2.301025390625007
'01,20.0,40.0,100.0,24.008829999999996,3.141727,43.792724609375014,16.534423828125007
'10,20.0,40.0,100.0,27.601799999999997,3.337975,31.70776367187501,7.269287109375007
'01,20.0,40.0,150.0,24.008129999999998,3.141556,58.69750976562501,28.887939453125007
'10,20.0,40.0,150.0,27.60173,3.3381999999999996,41.644287109375014,14.923095703125007
'01,20.0,100.0,10.0,38.85654999999999,3.142541,2.166748046875007,36.67602539062501
'10,20.0,100.0,10.0,42.572959999999995,3.338879,-8.038330078124995,21.36840820312501
'01,20.0,100.0,20.0,38.85654999999999,3.142541,3.1066894531250067,35.736083984375014
'10,20.0,100.0,20.0,42.572959999999995,3.338879,-7.098388671874995,20.42846679687501
'01,20.0,100.0,40.0,38.85654999999999,3.142541,6.597900390625008,32.91625976562501
'10,20.0,100.0,40.0,42.572959999999995,3.338879,-3.607177734374994,16.802978515625007
