transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'10,40.0,150.0,20.0,55.322829999999996,4.781992999999999,-20.660400390625,30.364990234375018
'01,40.0,150.0,40.0,51.340379999999996,4.5355609999999995,-5.084228515624994,43.121337890625
'10,40.0,150.0,40.0,55.322829999999996,4.781992999999999,-17.034912109374993,26.873779296875007
'01,40.0,150.0,100.0,51.34027999999999,4.535532,12.103271484375007,42.584228515625
'10,40.0,150.0,100.0,55.3227,4.781992,-8.172607421874995,22.71118164062501
'01,40.0,150.0,150.0,51.3394,4.535271,24.85961914062501,49.566650390625
'10,40.0,150.0,150.0,55.32264,4.781991,-3.8757324218749947,24.85961914062501
'01,60.0,10.0,10.0,17.353399999999997,5.866446999999999,36.13891601562501,13.714599609375007
'10,60.0,10.0,10.0,21.190309999999997,6.184913,27.54516601562501,-0.5187988281249938
'01,60.0,10.0,20.0,17.35345,5.866348,36.944580078125014,12.908935546875007
'10,60.0,10.0,20.0,21.19034,6.1848529999999995,28.35083007812501,-1.3244628906249936
'01,60.0,10.0,40.0,17.353399999999997,5.866446999999999,40.570068359375014,9.954833984375009
'10,60.0,10.0,40.0,21.190309999999997,6.184913,31.976318359375018,-1.1901855468749938
'01,60.0,10.0,100.0,17.353289999999998,5.866421999999999,61.785888671875014,17.877197265625007
'10,60.0,10.0,100.0,21.19014,6.184912,50.640869140625,9.283447265625009
'01,60.0,10.0,150.0,17.352449999999997,5.866161999999999,80.98754882812501,34.39331054687501
'10,60.0,10.0,150.0,21.190029999999997,6.184766,65.54565429687503,21.771240234375007
'01,60.0,20.0,10.0,20.61397,5.864673,30.767822265625007,14.654541015625009
'10,60.0,20.0,10.0,24.48906,6.185072,21.63696289062501,1.6296386718750064
'01,60.0,20.0,20.0,20.613919999999997,5.864602,31.70776367187501,13.848876953125007
'10,60.0,20.0,20.0,24.48901,6.184829,22.576904296875007,0.8239746093750063
'01,60.0,20.0,40.0,20.61397,5.864673,35.333251953125014,10.894775390625007
'10,60.0,20.0,40.0,24.48906,6.185072,26.20239257812501,0.15258789062500633
'01,60.0,20.0,100.0,20.61386,5.864646,55.877685546875014,18.54858398437501
'10,60.0,20.0,100.0,24.488899999999997,6.185071,43.52416992187501,8.612060546875009
'01,60.0,20.0,150.0,20.612889999999997,5.864508,74.005126953125,33.99047851562501
'10,60.0,20.0,150.0,24.48881,6.1849229999999995,56.414794921875014,19.219970703125014
'01,60.0,40.0,10.0,26.35055,5.862638,22.44262695312501,18.28002929687501
'10,60.0,40.0,10.0,30.283849999999997,6.184870999999999,12.640380859375007,5.926513671875008
'01,60.0,40.0,20.0,26.35055,5.862638,23.382568359375007,17.47436523437501
'10,60.0,40.0,20.0,30.283849999999997,6.184870999999999,13.580322265625007,4.986572265625007
'01,60.0,40.0,40.0,26.35055,5.862638,27.00805664062501,14.520263671875007
'10,60.0,40.0,40.0,30.283849999999997,6.184870999999999,17.20581054687501,3.3752441406250067
'01,60.0,40.0,100.0,26.35044,5.8626119999999995,46.74682617187501,20.965576171875007
'10,60.0,40.0,100.0,30.283699999999996,6.18487,32.110595703125014,8.612060546875009
'01,60.0,40.0,150.0,26.34942,5.862393,63.262939453125,34.93041992187501
'10,60.0,40.0,150.0,30.283589999999993,6.185003999999999,42.44995117187501,16.802978515625007
'01,60.0,100.0,10.0,41.19721,5.860455999999999,3.778076171875007,34.796142578125014
'10,60.0,100.0,10.0,45.2619,6.185826,-7.635498046874995,19.488525390625014
'01,60.0,100.0,20.0,41.19721,5.860455999999999,4.583740234375007,33.99047851562501
'10,60.0,100.0,20.0,45.2619,6.185826,-6.695556640624994,18.54858398437501
'01,60.0,100.0,40.0,41.19721,5.860455999999999,8.209228515625009,31.036376953125014
'10,60.0,100.0,40.0,45.2619,6.185826,-3.2043457031249942,15.05737304687501
'01,60.0,100.0,100.0,41.1971,5.860429999999999,26.47094726562501,31.17065429687501
'10,60.0,100.0,100.0,45.26177,6.185826,7.806396484375007,15.32592773437501
'01,60.0,100.0,150.0,41.196079999999995,5.860117,40.704345703125014,42.85278320312501
'10,60.0,100.0,150.0,45.261739999999996,6.1856029999999995,13.983154296875007,19.35424804687501
'01,60.0,150.0,10.0,52.35968,5.859998,-9.246826171874995,46.07543945312501
'10,60.0,150.0,10.0,56.507859999999994,6.186131,-21.600341796874996,30.63354492187501
'01,60.0,150.0,20.0,52.35968,5.859998,-8.306884765624995,45.269775390625
'10,60.0,150.0,20.0,56.507859999999994,6.186131,-20.660400390625,29.827880859375018
'01,60.0,150.0,40.0,52.35968,5.859998,-4.681396484374995,42.31567382812501
'10,60.0,150.0,40.0,56.507859999999994,6.186131,-17.034912109374993,26.336669921875007
'01,60.0,150.0,100.0,52.359579999999994,5.859971,12.774658203125007,42.04711914062501
'10,60.0,150.0,100.0,56.507729999999995,6.186131,-8.172607421874995,23.24829101562501
'01,60.0,150.0,150.0,52.358639999999994,5.859728,25.93383789062501,51.177978515625
