Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
genblk2[1].genblk1[1].L.NOT1.P1,PMOS,SOT523,31.0,-81.0,0.0,top
genblk2[1].genblk1[1].L.NOT1.P2,PMOS,SOT523,33.0,-81.0,0.0,top
genblk2[1].genblk1[1].L.NOT2.N1,NMOS,SOT523,39.0,-79.0,180.0,top
genblk2[1].genblk1[1].L.NOT2.P1,PMOS,SOT523,39.0,-81.0,0.0,top
genblk2[1].genblk1[1].L.NOT3.N1,NMOS,SOT523,37.0,-79.0,180.0,top
genblk2[1].genblk1[1].L.NOT3.N2,NMOS,SOT523,35.0,-79.0,180.0,top
genblk2[1].genblk1[1].L.NOT3.P1,PMOS,SOT523,37.0,-81.0,0.0,top
genblk2[1].genblk1[1].L.NOT3.P2,PMOS,SOT523,35.0,-81.0,0.0,top
genblk2[1].genblk1[1].R1.N1,NMOS,SOT523,43.0,-79.0,180.0,top
genblk2[1].genblk1[1].R1.N2,NMOS,SOT523,45.0,-79.0,180.0,top
genblk2[1].genblk1[1].R1.P1,PMOS,SOT523,43.0,-81.0,0.0,top
genblk2[1].genblk1[1].R1.P2,PMOS,SOT523,45.0,-81.0,0.0,top
genblk2[1].genblk1[1].R2.N1,NMOS,SOT523,47.0,-79.0,180.0,top
genblk2[1].genblk1[1].R2.N2,NMOS,SOT523,49.0,-79.0,180.0,top
genblk2[1].genblk1[1].R2.P1,PMOS,SOT523,47.0,-81.0,0.0,top
genblk2[1].genblk1[1].R2.P2,PMOS,SOT523,49.0,-81.0,0.0,top
genblk2[1].genblk1[2].D.DECAP.C,0.1u,C_0402_1005Metric,41.55,-84.0,90.0,top
genblk2[1].genblk1[2].D.L,,LED_0402_1005Metric,40.65,-83.0,90.0,top
genblk2[1].genblk1[2].D.R,330,R_0402_1005Metric,40.65,-85.0,-90.0,top
genblk2[1].genblk1[2].L.NOT1.N1,NMOS,SOT523,31.0,-85.0,0.0,top
genblk2[1].genblk1[2].L.NOT1.N2,NMOS,SOT523,33.0,-85.0,0.0,top
genblk2[1].genblk1[2].L.NOT1.P1,PMOS,SOT523,31.0,-83.0,180.0,top
genblk2[1].genblk1[2].L.NOT1.P2,PMOS,SOT523,33.0,-83.0,180.0,top
genblk2[1].genblk1[2].L.NOT2.N1,NMOS,SOT523,39.0,-85.0,0.0,top
genblk2[1].genblk1[2].L.NOT2.P1,PMOS,SOT523,39.0,-83.0,180.0,top
genblk2[1].genblk1[2].L.NOT3.N1,NMOS,SOT523,37.0,-85.0,0.0,top
genblk2[1].genblk1[2].L.NOT3.N2,NMOS,SOT523,35.0,-85.0,0.0,top
genblk2[1].genblk1[2].L.NOT3.P1,PMOS,SOT523,37.0,-83.0,180.0,top
genblk2[1].genblk1[2].L.NOT3.P2,PMOS,SOT523,35.0,-83.0,180.0,top
genblk2[1].genblk1[2].R1.N1,NMOS,SOT523,43.0,-85.0,0.0,top
